lon,lat
-102.28419,21.86266
-102.31627,21.92448
-102.3180349,21.8761247
-102.2957816,21.8659627
-102.29882,21.92444
-102.27912,22.14893
-102.32665,21.95123
-102.070836,22.093379
-102.2527,21.843922
-102.323714,21.935407
-102.262324,21.93697
-102.302261,21.870439
-102.2713,21.960037
-102.290027,21.865388
-102.274364,21.800443
-102.254341,21.956713
-102.296358,21.905108
-102.293668,21.96663
-102.3371,21.9232
-102.249958,21.915225
-102.293765,21.833267
-102.292392,21.808406
-102.298007,21.866187
-102.273359,21.823498
-102.251441,22.227801
-102.295055,21.878785
-102.253014,21.92952
-102.25922,21.844856
-102.24272,21.91152
-102.267699,21.903375
-102.314278,21.858222
-102.267946,21.87306
-102.23359,21.884545
-102.27977,22.14752
-102.256041,21.85248
-102.24701,21.87997
-102.276788,21.922143
-102.24615,21.9045
-102.245478,21.859163
-102.295849,21.884823
-102.29738,21.86687
-102.301876,21.930183
-102.316016,21.859433
-102.26957,22.077282
-102.290427,21.902443
-102.299456,21.862375
-102.30305,21.859608
-102.220546,21.886458
-102.318143,21.842694
-102.305095,21.928979
-102.3438364,21.9606575
-102.317197,21.894044
-102.296856,22.361066
-102.327996,21.8660611
-102.25121,21.91614
-102.30504,21.86259
-102.3147963,22.0217743
-102.090141,22.237795
-102.29678,21.91799
-102.16778,22.22062
-102.0654,22.0989
-102.31879,22.22731
-102.254,21.8575
-102.25563,21.85606
-102.25279,21.8568
-102.35539,21.83887
-102.22052,21.8859
-102.29082,21.89914
-102.26806,21.90454
-102.28353,21.93053
-102.26969,21.86911
-102.30958,21.85052
-102.31771,21.85533
-102.27981,21.8732
-102.31529,21.87971
-102.25752,21.88459
-102.25384,21.8569
-102.25735,21.90806
-102.27395,21.80147
-102.1666,21.90403
-102.1619,21.73052
-102.20115,22.00022
-102.37104,21.75745
-102.33884,21.89099
-102.1134,22.04786
-102.36887,21.83449
-102.08835,22.2372
-102.20866,22.13773
-101.94125,22.09021
-102.019,22.19372
-101.892,22.03846
-101.96695,22.08216
-101.95812,22.0363
-102.10842,22.13368
-102.06837,22.09836
-102.7034,21.8485
-102.73125,21.8444
-102.7105,21.846
-102.65939,21.88585
-102.68632,21.86125
-102.7881,21.773
-102.696,21.9641
-102.6666,21.8635
-102.83827,21.80846
-102.70071,21.9155
-102.71683,22.00487
-102.67254,22.02487
-102.29709,22.36651
-102.28725,22.41001
-102.3439,21.9536
-102.46634,21.88124
-102.49279,21.92872
-102.29121,21.99945
-102.53595,21.84854
-102.31542,22.0213
-102.27952,22.14987
-102.274,22.14142
-102.26703,22.09143
-102.30037,22.10605
-102.3213,22.2248
-102.32732,22.22542
-102.37113,22.26164
-102.33874,22.17936
-102.23244,22.34848
-102.4163,22.15039
-102.55913,22.16679
-102.48478,22.14805
-102.52265,22.09165
-102.46989,22.162
-102.4157,22.23124
-102.167,22.224
-102.2386,22.28528
-102.17025,22.31478
-102.24928,22.22812
-101.97058,21.91784
-101.99231,21.8982
-102.06041,21.97636
-102.02228,21.93733
-101.99761,21.85275
-102.27417,22.07294
-102.26231,22.06852
-102.26811,21.95987
-101.84795,22.02871
-102.30232,21.90071
-102.30232,21.90071
-102.3667,21.88212
-102.25466,21.85735
-102.3183,22.23413
-102.30232,21.90071
-102.72207,21.84615
-102.25664,21.85554
-102.25397,21.85722
-102.30974,22.23365
-102.7535,21.8308
-102.34286,21.95193
-102.34287,21.95202
-102.3183,22.23413
-102.3183,22.23413
-102.23414,21.86824
-102.24603,22.1795
-102.25557,21.85676
-102.25696,21.856
-102.3312,22.2231
-102.2543,21.8687
-102.67546,21.87916
-102.30236,21.9007
-102.70315,21.84831
-102.46682,21.78195
-102.1858,21.81937
-102.3095,21.8507
-102.24405,21.89247
-102.2831,21.8947
-102.2986,21.8941
-102.27362,21.72509
-102.06219,22.29707
-102.30236,21.9007
-102.31841,22.23414
-102.72207,21.84615
-116.600282,31.825117
-116.620663,31.876347
-116.6303,31.8823
-116.6086902,31.8914401
-116.5739097,31.8943102
-116.6207658,31.8766225
-116.566253,31.8784952
-116.576868,31.852303
-116.588352,31.887308
-116.615211,31.861965
-113.560501,28.9479842
-116.3738424,31.2751419
-116.5766792,32.0937443
-115.1935,28.0938
-116.572713,31.719591
-116.851257,32.093387
-116.26981,31.910308
-115.723506,30.060498
-116.128298,30.9241285
-116.247757,31.3266689
-115.9944406,30.7302536
-115.987797,30.708721
-115.987797,30.708721
-115.987797,30.708721
-116.6519,31.966977
-116.0521,30.8511
-115.890043,31.610915
-115.734761,31.4016344
-116.010411,30.765902
-116.514683,31.672761
-115.9148644,30.5094996
-115.476271,32.644334
-115.440302,32.623859
-115.376578,32.662117
-115.5008223,32.642085
-115.4033032,32.6628862
-115.507579,32.610863
-115.4454433,32.6104131
-115.4190649,32.6208497
-115.405299,32.573715
-115.430153,32.5834905
-115.5227509,32.6535305
-115.5163874,32.636837
-115.4322509,32.6446641
-115.391522,32.6032751
-115.467173,32.651136
-115.167146,32.232315
-114.7325261,32.7168679
-115.1973697,32.3560825
-115.256147,32.249817
-115.093941,32.282071
-114.923258,32.511733
-114.84337,32.635998
-115.1910906,32.409377
-115.084188,32.429629
-115.5835751,32.5826573
-115.3498595,32.5718644
-115.1438793,32.5500709
-114.839476,31.0231062
-115.5758309,32.6298679
-115.233854,32.288619
-114.9990346,32.5703772
-115.074533,32.397907
-116.6319713,32.5575292
-116.047287,32.541286
-116.619738,32.370171
-116.307203,32.505542
-116.570838,32.49011
-117.0094107,32.5257079
-116.9096,32.4632
-116.9096,32.4632
-116.9096,32.4632
-116.9096,32.4632
-116.9096,32.4632
-116.9096,32.4632
-116.9096,32.4632
-116.9096,32.4632
-116.9096,32.4632
-116.960202,32.422201
-117.099874,32.524682
-116.9567994,32.465821
-116.8809975,32.5400546
-116.967958,32.495079
-117.064759,32.529181
-117.0821138,32.5147272
-116.935522,32.5234886
-116.8774506,32.5052019
-116.9381559,32.4599342
-116.79313,32.504671
-116.9896685,32.5340321
-117.077807,32.483141
-116.8811195,32.4762658
-116.9761128,32.4746588
-117.057696,32.4912345
-116.9706684,32.4678683
-116.918487,32.4550627
-116.8560876,32.4759227
-116.8730833,32.518818
-116.989345,32.45141
-117.0373777,32.4786766
-117.0555655,32.5108627
-116.7908325,32.4720748
-116.9096,32.4632
-117.0459362,32.4055936
-116.9171232,32.2215459
-116.620663,31.876347
-116.620663,31.876347
-115.440302,32.623859
-115.440302,32.623859
-116.9096,32.4632
-116.9096,32.4632
-116.9096,32.4632
-116.9096,32.4632
-116.9096,32.4632
-116.9096,32.4632
-115.9892908,30.7263545
-116.557301,32.105464
-116.848846,32.471906
-116.0648,30.8368
-116.9096,32.4632
-116.92895,32.489581
-116.9093,32.4632
-116.9093,32.4632
-116.544156,31.879974
-117.0554,32.3636
-116.6879767,31.8906288
-116.967766,32.461939
-116.58169,31.780929
-116.6427317,31.7059349
-115.2435361,32.3157851
-116.156904,30.9701126
-115.943267,30.523799
-115.5612768,32.6347113
-116.59792,31.782227
-116.825696,32.4913162
-116.9096,32.4632
-115.987797,30.708721
-116.6201127,31.8763533
-116.9096,32.4632
-115.068807,32.348993
-117.090248,32.487793
-115.440302,32.623859
-117.0089,32.5256
-116.592991,31.89651
-116.5926679,31.8966547
-116.589384,32.563482
-116.9096,32.4632
-114.995522,32.189066
-115.3756,32.6239
-115.5607433,32.6338344
-115.3754243,32.6244797
-117.03782,32.527386
-117.060862,32.39742
-116.96486,32.40598
-115.440302,32.623859
-115.37682,32.62242
-116.84889,32.47195
-116.6076,31.8576
-116.5920732,31.8633245
-116.6215816,31.8626048
-115.9362571,30.5413199
-115.723506,30.060498
-116.248,31.3273
-116.6998119,31.8967677
-116.61921,32.0776501
-115.466105,32.662184
-115.468014,32.662077
-115.4954649,32.6405844
-115.420898,32.6237024
-115.4566058,32.636207
-115.3920459,32.6278316
-115.0000857,32.5692561
-114.8464872,32.6339113
-115.1925561,32.4199362
