event_id_cnty,event_date,event_type,adm2_code,latitude,longitude
MEX95542,2024-08-25,Violence against civilians,MX19021,25.808,-100.3226
MEX95543,2024-08-29,Battles,MX19021,25.808,-100.3226
MEX95099,2024-11-02,Battles,MX20067,17.06,-96.7255
MEX88506,2024-06-01,Battles,MX04002,19.9151,-90.4166
MEX89147,2024-06-22,Violence against civilians,MX10005,24.024,-104.6702
MEX90462,2024-07-19,Battles,MX12007,18.3158,-100.284
MEX92959,2024-09-18,Violence against civilians,MX10005,24.024,-104.6702
MEX93133,2024-09-14,Battles,MX25006,24.8258,-107.5328
MEX95085,2024-11-02,Violence against civilians,MX10005,24.024,-104.6702
MEX95694,2024-11-01,Violence against civilians,MX02004,32.5325,-117.019
MEX88487,2024-06-02,Violence against civilians,MX30087,19.5271,-96.9226
MEX88988,2024-06-11,Battles,MX30038,19.4547,-96.9603
MEX89079,2024-06-14,Violence against civilians,MX20079,16.1759,-95.1922
MEX89504,2024-07-02,Violence against civilians,MX30087,19.5271,-96.9226
MEX90507,2024-07-24,Violence against civilians,MX30087,19.5271,-96.9226
MEX91182,2024-08-04,Violence against civilians,MX30038,19.4547,-96.9603
MEX91787,2024-08-19,Violence against civilians,MX30087,19.5271,-96.9226
MEX93087,2024-09-18,Violence against civilians,MX20124,16.3262,-95.2231
MEX94128,2024-10-07,Violence against civilians,MX30087,19.5271,-96.9226
MEX94154,2024-10-12,Battles,MX30087,19.5271,-96.9226
MEX94219,2024-10-12,Violence against civilians,MX30087,19.5271,-96.9226
MEX95975,2024-10-01,Violence against civilians,MX26018,27.4965,-109.9327
MEX95976,2024-10-12,Violence against civilians,MX15106,19.2935,-99.6573
MEX95977,2024-10-15,Violence against civilians,MX07064,16.7861,-92.3349
MEX95978,2024-10-26,Violence against civilians,MX08037,31.7465,-106.485
MEX95168,2024-11-04,Battles,MX27004,17.9878,-92.9194
MEX95210,2024-11-05,Violence against civilians,MX20067,17.06,-96.7255
