snapshot_date,adm1_name,cast_state_mean
2024-08-19,San Luis Potosí,0.10657193605683836
2024-08-19,Sinaloa,0.49733570159857915
2024-08-19,Sonora,0.23090586145648315
2024-08-19,Tabasco,0.35523978685612795
2024-08-19,Tamaulipas,0.30195381882770883
2024-08-19,Tlaxcala,0.07104795737122561
2024-08-19,Veracruz de Ignacio de la Llave,0.4795737122557727
2024-08-19,Yucatán,0.0
2024-08-19,Zacatecas,0.17761989342806397
2024-08-20,Aguascalientes,0.0
2024-08-20,Baja California,0.6749555950266432
2024-08-20,Baja California Sur,0.0
2024-08-20,Campeche,0.07104795737122559
2024-08-20,Chiapas,0.47957371225577267
2024-08-20,Chihuahua,0.408525754884547
2024-08-20,Coahuila de Zaragoza,0.035523978685612786
2024-08-20,Colima,0.35523978685612795
2024-08-20,Distrito Federal,0.14209591474245117
2024-08-20,Durango,0.035523978685612786
2024-08-20,Guanajuato,1.0
2024-08-20,Guerrero,0.88809946714032
2024-08-20,Hidalgo,0.2309058614564832
2024-08-20,Jalisco,0.5683836589698048
2024-08-20,Michoacán de Ocampo,0.710479573712256
2024-08-20,Morelos,0.3730017761989343
2024-08-20,México,0.24866785079928955
2024-08-20,Nayarit,0.035523978685612786
2024-08-20,Nuevo León,1.0
2024-08-20,Oaxaca,0.08880994671403197
2024-08-20,Puebla,0.40852575488454695
2024-08-20,Querétaro de Arteaga,0.029868942395611095
2024-08-20,Quintana Roo,0.15985790408525755
2024-08-20,San Luis Potosí,0.10657193605683836
2024-08-20,Sinaloa,0.49733570159857915
2024-08-20,Sonora,0.23090586145648315
2024-08-20,Tabasco,0.35523978685612795
2024-08-20,Tamaulipas,0.30195381882770883
2024-08-20,Tlaxcala,0.07104795737122561
2024-08-20,Veracruz de Ignacio de la Llave,0.4795737122557727
2024-08-20,Yucatán,0.0
2024-08-20,Zacatecas,0.17761989342806397
2024-08-21,Aguascalientes,0.0
2024-08-21,Baja California,0.6749555950266432
2024-08-21,Baja California Sur,0.0
2024-08-21,Campeche,0.07104795737122559
2024-08-21,Chiapas,0.47957371225577267
2024-08-21,Chihuahua,0.408525754884547
2024-08-21,Coahuila de Zaragoza,0.035523978685612786
2024-08-21,Colima,0.35523978685612795
2024-08-21,Distrito Federal,0.14209591474245117
2024-08-21,Durango,0.035523978685612786
2024-08-21,Guanajuato,1.0
2024-08-21,Guerrero,0.88809946714032
2024-08-21,Hidalgo,0.2309058614564832
2024-08-21,Jalisco,0.5683836589698048
2024-08-21,Michoacán de Ocampo,0.710479573712256
2024-08-21,Morelos,0.3730017761989343
2024-08-21,México,0.24866785079928955
2024-08-21,Nayarit,0.035523978685612786
2024-08-21,Nuevo León,1.0
2024-08-21,Oaxaca,0.08880994671403197
2024-08-21,Puebla,0.40852575488454695
2024-08-21,Querétaro de Arteaga,0.029868942395611095
2024-08-21,Quintana Roo,0.15985790408525755
2024-08-21,San Luis Potosí,0.10657193605683836
2024-08-21,Sinaloa,0.49733570159857915
2024-08-21,Sonora,0.23090586145648315
2024-08-21,Tabasco,0.35523978685612795
2024-08-21,Tamaulipas,0.30195381882770883
2024-08-21,Tlaxcala,0.07104795737122561
2024-08-21,Veracruz de Ignacio de la Llave,0.4795737122557727
2024-08-21,Yucatán,0.0
2024-08-21,Zacatecas,0.17761989342806397
2024-08-22,Aguascalientes,0.0
2024-08-22,Baja California,0.6749555950266432
2024-08-22,Baja California Sur,0.0
2024-08-22,Campeche,0.07104795737122559
2024-08-22,Chiapas,0.47957371225577267
2024-08-22,Chihuahua,0.408525754884547
2024-08-22,Coahuila de Zaragoza,0.035523978685612786
2024-08-22,Colima,0.35523978685612795
2024-08-22,Distrito Federal,0.14209591474245117
2024-08-22,Durango,0.035523978685612786
2024-08-22,Guanajuato,1.0
2024-08-22,Guerrero,0.88809946714032
2024-08-22,Hidalgo,0.2309058614564832
2024-08-22,Jalisco,0.5683836589698048
2024-08-22,Michoacán de Ocampo,0.710479573712256
2024-08-22,Morelos,0.3730017761989343
2024-08-22,México,0.24866785079928955
2024-08-22,Nayarit,0.035523978685612786
2024-08-22,Nuevo León,1.0
2024-08-22,Oaxaca,0.08880994671403197
2024-08-22,Puebla,0.40852575488454695
2024-08-22,Querétaro de Arteaga,0.029868942395611095
2024-08-22,Quintana Roo,0.15985790408525755
2024-08-22,San Luis Potosí,0.10657193605683836
2024-08-22,Sinaloa,0.49733570159857915
2024-08-22,Sonora,0.23090586145648315
2024-08-22,Tabasco,0.35523978685612795
2024-08-22,Tamaulipas,0.30195381882770883
2024-08-22,Tlaxcala,0.07104795737122561
2024-08-22,Veracruz de Ignacio de la Llave,0.4795737122557727
2024-08-22,Yucatán,0.0
2024-08-22,Zacatecas,0.17761989342806397
2024-08-23,Aguascalientes,0.0
2024-08-23,Baja California,0.6749555950266432
2024-08-23,Baja California Sur,0.0
2024-08-23,Campeche,0.07104795737122559
2024-08-23,Chiapas,0.47957371225577267
2024-08-23,Chihuahua,0.408525754884547
2024-08-23,Coahuila de Zaragoza,0.035523978685612786
2024-08-23,Colima,0.35523978685612795
2024-08-23,Distrito Federal,0.14209591474245117
2024-08-23,Durango,0.035523978685612786
2024-08-23,Guanajuato,1.0
2024-08-23,Guerrero,0.88809946714032
2024-08-23,Hidalgo,0.2309058614564832
2024-08-23,Jalisco,0.5683836589698048
2024-08-23,Michoacán de Ocampo,0.710479573712256
2024-08-23,Morelos,0.3730017761989343
2024-08-23,México,0.24866785079928955
2024-08-23,Nayarit,0.035523978685612786
2024-08-23,Nuevo León,1.0
2024-08-23,Oaxaca,0.08880994671403197
2024-08-23,Puebla,0.40852575488454695
2024-08-23,Querétaro de Arteaga,0.029868942395611095
2024-08-23,Quintana Roo,0.15985790408525755
2024-08-23,San Luis Potosí,0.10657193605683836
